q1;q2;q3;r0;J;R_;L_;C_;D_;Vi
0.001;0.001;2.481944603;0.001;0.006934452;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.485864252;0.001;0.00692893;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.506332611;0.001;0.006900304;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.528883871;0.001;0.238362906;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.502019115;0.001;0.006906308;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.495898648;0.001;0.006914853;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.527798744;0.001;0.238314805;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.520917977;0.001;0.238009569;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.499868675;0.001;0.006909306;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.497501226;0.001;0.006912612;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.507918803;0.001;0.006898101;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514331489;0.001;0.006889213;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515448747;0.001;0.237766672;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.513832751;0.001;0.006889903;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51484315;0.001;0.006888505;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515932022;0.001;0.237788145;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514611325;0.001;0.006888826;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515328396;0.001;0.237761324;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515574304;0.001;0.237772251;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514312126;0.001;0.00688924;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515396139;0.001;0.237764334;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515895508;0.001;0.237786523;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514683318;0.001;0.006888726;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514581257;0.001;0.006888867;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515039102;0.001;0.006888234;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515246307;0.001;0.237757677;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515205559;0.001;0.006888004;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51518715;0.001;0.006888029;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51519043;0.001;0.006888025;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515223008;0.001;0.237756641;133.333;0.000111111;0.00005;0.5;20
0.002101507;0.847023677;1.271102546;1.510498921;0.083061515;133.333;0.000111111;0.00005;0.5;20
0.001037911;0.001;1.311237248;0.001;0.009730563;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.672005238;0.001;0.008463075;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.197370119;0.001;0.007374005;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.658910053;0.001;0.244058037;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.031409146;0.001;0.00767196;133.333;0.000111111;0.00005;0.5;20
